mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
12.775656779607138,0.9293304341064205,0.06150547663370768,0.001142931028816283,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9691142191142191,0.9737609329446064,0.9749271137026239,0.9726007552538164,0.0025109022388550904,3
28.26127513249715,1.6391178418733485,0.11708935101826985,0.0031365387058765884,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9708624708624709,0.9749271137026239,0.9749271137026239,0.9735722327559063,0.0019160910102490015,1
13.947446902592977,0.8965866363283314,0.06060997645060221,0.000704496370992669,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9673659673659674,0.9760932944606414,0.9720116618075801,0.9718236412113962,0.0035653960381047864,5
31.919840892155964,0.9166198212844267,0.11642249425252278,0.0018105943535454798,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9644522144522144,0.9760932944606414,0.9731778425655977,0.9712411171594845,0.004945830898488339,7
15.137959162394205,0.343192895259002,0.06384023030598958,0.0059611948212234984,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9638694638694638,0.9731778425655977,0.9667638483965014,0.9679370516105209,0.003889625759521441,11
30.068790674209595,1.1960684341596186,0.12569395701090494,0.004272722237927913,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.9644522144522144,0.9731778425655977,0.9667638483965014,0.9681313018047711,0.003691123867794886,10
13.996316194534302,0.15634068656125968,0.06275478998819987,0.004216929973568853,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.965034965034965,0.9731778425655977,0.9667638483965014,0.9683255519990214,0.0035029323170084757,9
29.48800237973531,1.1733866982848427,0.13094647725423178,0.011674833490980939,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9638694638694638,0.9714285714285714,0.9673469387755103,0.9675483246911818,0.003089276505139737,12
15.158674875895182,0.9880693827853518,0.0737608273824056,0.018408233792427717,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.9685314685314685,0.9737609329446064,0.9749271137026239,0.9724065050595664,0.0027811179359700324,4
29.212400515874226,1.5652253328357562,0.09020654360453288,0.021737305208227947,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.9708624708624709,0.9749271137026239,0.9749271137026239,0.9735722327559063,0.0019160910102490015,1
16.046451886494953,0.5205853541014984,0.06588435173034668,0.005935552476974864,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.9673659673659674,0.9760932944606414,0.9720116618075801,0.9718236412113962,0.0035653960381047864,5
21.141420284907024,1.9708530453764794,0.05559579531351725,0.004602915387724689,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.9644522144522144,0.9760932944606414,0.9731778425655977,0.9712411171594845,0.004945830898488339,7
